"ID";"EDU_NAME";"global_id";"YEAR";"AdmArea";"District";"PASSES_OVER_220";"PASSER_UNDER_160";
"9947";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 149 имени Героя Советского Союза Ю.Н. Зыкова»";"1011905283";"2018-2019";"Северный административный округ";"район Сокол";"10";"26";
"9948";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1409»";"1011905284";"2018-2019";"Северный административный округ";"Хорошёвский район";"56";"115";
"9949";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2044»";"1011905285";"2018-2019";"Северо-Восточный административный округ";"район Северный";"8";"22";
"9950";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1985»";"1011905286";"2018-2019";"Северо-Западный административный округ";"район Куркино";"28";"53";
"9951";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1900»";"1011905287";"2018-2019";"Северо-Западный административный округ";"район Митино";"32";"59";
"9952";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1515»";"1011905288";"2018-2019";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"49";"80";
"9953";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2120»";"1011905289";"2018-2019";"Новомосковский административный округ";"поселение Московский";"45";"115";
"9954";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1290»";"1011905290";"2018-2019";"Восточный административный округ";"район Измайлово";"34";"72";
"9955";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1798 «Феникс»";"1011905291";"2018-2019";"Восточный административный округ";"район Новогиреево";"22";"55";
"9956";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2033»";"1011905292";"2018-2019";"Восточный административный округ";"район Северное Измайлово";"33";"65";
"9957";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 809»";"1011905293";"2018-2019";"Западный административный округ";"Можайский район";"11";"34";
