"global_id";"ID";"Year";"UnemployedMen";"UnemployedWomen";"UnemployedYoung";"UnemployedDisabled";"UnemployedTotal";"Period";
"841752797";"86";"2017";"12054";"15554";"3438";"714";"27608";"Ноябрь";
"841752805";"87";"2017";"12971";"17109";"3676";"722";"30080";"Декабрь";
"843989666";"88";"2018";"12782";"16809";"3537";"708";"29591";"Январь";
"858378159";"89";"2018";"12993";"16603";"3442";"658";"29596";"Февраль";
"861113574";"90";"2018";"12793";"16301";"3309";"638";"29094";"Март";
"863485150";"91";"2018";"12527";"15988";"3188";"599";"28515";"Апрель";
"880655734";"92";"2018";"11622";"15020";"2816";"575";"26642";"Май";
"880655751";"93";"2018";"11149";"14341";"2639";"526";"25490";"Июнь";
"886051152";"94";"2018";"10869";"13881";"2637";"501";"24750";"Июль";
"886440501";"95";"2018";"10745";"13837";"2735";"503";"24582";"Август";
"894075540";"96";"2018";"10651";"14043";"2829";"472";"24694";"Сентябрь";
"896740236";"97";"2018";"10763";"14375";"2892";"477";"25138";"Октябрь";
"904345746";"98";"2018";"11080";"14610";"2911";"467";"25690";"Ноябрь";
"909303094";"99";"2018";"12063";"15815";"3077";"527";"27878";"Декабрь";
"918869065";"100";"2019";"12225";"16078";"2960";"533";"28303";"Январь";
"918869066";"101";"2019";"13123";"16904";"3103";"575";"30027";"Февраль";
"918869067";"102";"2019";"13433";"17164";"3102";"593";"30597";"Март";
"926094627";"103";"2019";"13803";"17319";"3060";"593";"31122";"Апрель";
"933200250";"104";"2019";"12818";"16221";"2711";"577";"29039";"Май";
"933200260";"105";"2019";"12260";"15769";"2545";"576";"28029";"Июнь";
